underlying,strike,ko_type,ko_barrier,coupon_pa,tenor,barrier_type,ki_barrier
700 HK,85,Period End,100,3.95,12,AKI,75
700 HK,80,Period End,105,1.62,9,AKI,75
700 HK,80,Period End,105,3.17,12,AKI,75
700 HK,80,Period End,100,1.57,12,AKI,75
388 HK,90,Period End,105,5.32,6,NONE,
388 HK,90,Period End,105,8.6,9,NONE,
388 HK,90,Period End,105,9.87,12,NONE,
388 HK,90,Period End,100,3.94,6,NONE,
388 HK,90,Period End,100,7.08,9,NONE,
388 HK,90,Period End,100,8.25,12,NONE,
388 HK,85,Period End,105,3.95,9,NONE,
388 HK,85,Period End,105,5.31,12,NONE,
388 HK,85,Period End,100,2.5,9,NONE,
388 HK,85,Period End,100,3.88,12,NONE,
388 HK,80,Period End,105,1.17,9,NONE,
388 HK,80,Period End,105,2.54,12,NONE,
388 HK,80,Period End,100,1.18,12,NONE,
388 HK,90,Period End,105,4.89,9,EKI,78
388 HK,90,Period End,105,7.05,12,EKI,78
388 HK,90,Period End,100,3.59,9,EKI,78
388 HK,90,Period End,100,5.68,12,EKI,78
388 HK,85,Period End,105,2.74,9,EKI,78
388 HK,85,Period End,105,4.39,12,EKI,78
388 HK,85,Period End,100,1.38,9,EKI,78
388 HK,85,Period End,100,3.03,12,EKI,78
388 HK,80,Period End,105,1.02,9,EKI,78
388 HK,80,Period End,105,2.42,12,EKI,78
388 HK,80,Period End,100,1.07,12,EKI,78
388 HK,90,Period End,105,3.26,9,EKI,75
388 HK,90,Period End,105,5.62,12,EKI,75
388 HK,90,Period End,100,1.87,9,EKI,75
388 HK,90,Period End,100,4.23,12,EKI,75
388 HK,85,Period End,105,1.85,9,EKI,75
388 HK,85,Period End,105,3.63,12,EKI,75
388 HK,85,Period End,100,2.25,12,EKI,75
388 HK,80,Period End,105,2.08,12,EKI,75
388 HK,90,Period End,105,2.27,6,AKI,78
388 HK,90,Period End,105,6.86,9,AKI,78
388 HK,90,Period End,105,9.01,12,AKI,78
388 HK,90,Period End,100,1.16,6,AKI,78
388 HK,90,Period End,100,5.77,9,AKI,78
388 HK,90,Period End,100,7.71,12,AKI,78
388 HK,85,Period End,105,3.52,9,AKI,78
388 HK,85,Period End,105,5.11,12,AKI,78
388 HK,85,Period End,100,2.2,9,AKI,78
388 HK,85,Period End,100,3.75,12,AKI,78
388 HK,80,Period End,105,1.15,9,AKI,78
388 HK,80,Period End,105,2.53,12,AKI,78
388 HK,80,Period End,100,1.17,12,AKI,78
388 HK,90,Period End,105,5.49,9,AKI,75
388 HK,90,Period End,105,8.09,12,AKI,75
388 HK,90,Period End,100,4.48,9,AKI,75
388 HK,90,Period End,100,6.95,12,AKI,75
388 HK,85,Period End,105,2.91,9,AKI,75
388 HK,85,Period End,105,4.74,12,AKI,75
388 HK,85,Period End,100,1.69,9,AKI,75
388 HK,85,Period End,100,3.46,12,AKI,75
388 HK,80,Period End,105,2.44,12,AKI,75
388 HK,80,Period End,100,1.1,12,AKI,75
700 HK,90,Period End,105,3.32,3,NONE,
700 HK,90,Period End,105,10.62,6,NONE,
700 HK,90,Period End,105,14.35,9,NONE,
700 HK,90,Period End,105,16.08,12,NONE,
700 HK,90,Period End,100,2.9,3,NONE,
700 HK,90,Period End,100,10.73,6,NONE,
700 HK,90,Period End,100,14.51,9,NONE,
700 HK,90,Period End,100,16.21,12,NONE,
700 HK,90,Period End,95,4.08,6,NONE,
700 HK,90,Period End,95,6.61,9,NONE,
700 HK,90,Period End,95,7.78,12,NONE,
700 HK,85,Period End,105,4.4,6,NONE,
700 HK,85,Period End,105,7.85,9,NONE,
700 HK,85,Period End,105,9.56,12,NONE,
700 HK,85,Period End,100,3.83,6,NONE,
700 HK,85,Period End,100,7.39,9,NONE,
700 HK,85,Period End,100,9.12,12,NONE,
700 HK,85,Period End,95,2.13,9,NONE,
700 HK,85,Period End,95,3.51,12,NONE,
700 HK,80,Period End,105,3.93,9,NONE,
700 HK,80,Period End,105,5.58,12,NONE,
700 HK,80,Period End,100,3.19,9,NONE,
700 HK,80,Period End,100,4.92,12,NONE,
700 HK,90,Period End,105,4.44,6,EKI,78
700 HK,90,Period End,105,9.72,9,EKI,78
700 HK,90,Period End,105,12.6,12,EKI,78
700 HK,90,Period End,100,4.2,6,EKI,78
700 HK,90,Period End,100,9.91,9,EKI,78
700 HK,90,Period End,100,12.87,12,EKI,78
700 HK,90,Period End,95,3.69,9,EKI,78
700 HK,90,Period End,95,5.75,12,EKI,78
700 HK,85,Period End,105,2.34,6,EKI,78
700 HK,85,Period End,105,6.26,9,EKI,78
700 HK,85,Period End,105,8.38,12,EKI,78
700 HK,85,Period End,100,1.75,6,EKI,78
700 HK,85,Period End,100,5.83,9,EKI,78
700 HK,85,Period End,100,8.02,12,EKI,78
700 HK,85,Period End,95,1.06,9,EKI,78
700 HK,85,Period End,95,2.76,12,EKI,78
700 HK,80,Period End,105,3.7,9,EKI,78
700 HK,80,Period End,105,5.41,12,EKI,78
700 HK,80,Period End,100,2.95,9,EKI,78
700 HK,80,Period End,100,4.74,12,EKI,78
700 HK,90,Period End,105,2.47,6,EKI,75
700 HK,90,Period End,105,7.82,9,EKI,75
700 HK,90,Period End,105,10.92,12,EKI,75
700 HK,90,Period End,100,1.88,6,EKI,75
700 HK,90,Period End,100,7.81,9,EKI,75
700 HK,90,Period End,100,11.14,12,EKI,75
700 HK,90,Period End,95,2.06,9,EKI,75
700 HK,90,Period End,95,4.55,12,EKI,75
700 HK,85,Period End,105,1.16,6,EKI,75
700 HK,85,Period End,105,5.12,9,EKI,75
700 HK,85,Period End,105,7.4,12,EKI,75
700 HK,85,Period End,100,4.63,9,EKI,75
700 HK,85,Period End,100,7.04,12,EKI,75
700 HK,85,Period End,95,2.08,12,EKI,75
700 HK,80,Period End,105,3.18,9,EKI,75
700 HK,80,Period End,105,4.97,12,EKI,75
700 HK,80,Period End,100,2.43,9,EKI,75
700 HK,80,Period End,100,4.36,12,EKI,75
700 HK,90,Period End,105,6.7,6,AKI,78
700 HK,90,Period End,105,12.25,9,AKI,78
700 HK,90,Period End,105,14.99,12,AKI,78
700 HK,90,Period End,100,7.05,6,AKI,78
700 HK,90,Period End,100,12.89,9,AKI,78
700 HK,90,Period End,100,15.52,12,AKI,78
700 HK,90,Period End,95,2.09,6,AKI,78
700 HK,90,Period End,95,6.04,9,AKI,78
700 HK,90,Period End,95,7.75,12,AKI,78
700 HK,85,Period End,105,3.32,6,AKI,78
700 HK,85,Period End,105,7.24,9,AKI,78
700 HK,85,Period End,105,9.26,12,AKI,78
700 HK,85,Period End,100,2.83,6,AKI,78
700 HK,85,Period End,100,6.97,9,AKI,78
700 HK,85,Period End,100,8.97,12,AKI,78
700 HK,85,Period End,95,1.94,9,AKI,78
700 HK,85,Period End,95,3.55,12,AKI,78
700 HK,80,Period End,105,3.85,9,AKI,78
700 HK,80,Period End,105,5.55,12,AKI,78
700 HK,80,Period End,100,3.14,9,AKI,78
700 HK,80,Period End,100,4.91,12,AKI,78
700 HK,90,Period End,105,4.66,6,AKI,75
700 HK,90,Period End,105,10.66,9,AKI,75
700 HK,90,Period End,105,13.9,12,AKI,75
700 HK,90,Period End,100,4.69,6,AKI,75
700 HK,90,Period End,100,11.32,9,AKI,75
700 HK,90,Period End,100,14.61,12,AKI,75
700 HK,90,Period End,95,5.15,9,AKI,75
700 HK,90,Period End,95,7.35,12,AKI,75
700 HK,85,Period End,105,2.3,6,AKI,75
700 HK,85,Period End,105,6.52,9,AKI,75
700 HK,85,Period End,105,8.81,12,AKI,75
700 HK,85,Period End,100,1.8,6,AKI,75
700 HK,85,Period End,100,6.28,9,AKI,75
700 HK,85,Period End,100,8.61,12,AKI,75
700 HK,85,Period End,95,1.57,9,AKI,75
700 HK,85,Period End,95,3.4,12,AKI,75
700 HK,80,Period End,105,3.64,9,AKI,75
700 HK,80,Period End,105,5.43,12,AKI,75
700 HK,80,Period End,100,2.95,9,AKI,75
700 HK,80,Period End,100,4.85,12,AKI,75
