depo_cur,link_cur,tenor,interest_rate,conversion_rate
HKD,CAD,2W,3.5,5.9159
HKD,CAD,2W,4,5.9231
HKD,CAD,2W,4.5,5.9296
HKD,CAD,2W,5,5.9357
HKD,CAD,2W,5.5,5.9414
HKD,CAD,2W,6,5.9467
HKD,CAD,2W,6.5,5.9518
HKD,CAD,2W,7,5.9566
HKD,CAD,3W,3,5.8937
HKD,CAD,3W,3.5,5.9056
HKD,CAD,3W,4,5.9162
HKD,CAD,3W,4.5,5.9259
HKD,CAD,3W,5,5.9348
HKD,CAD,3W,5.5,5.9430
HKD,CAD,3W,6,5.9507
HKD,CAD,3W,6.5,5.9580
HKD,CAD,3W,7,5.9648
HKD,CAD,1M,3,5.8850
HKD,CAD,1M,3.5,5.9005
HKD,CAD,1M,4,5.9143
HKD,CAD,1M,4.5,5.9268
HKD,CAD,1M,5,5.9382
HKD,CAD,1M,5.5,5.9487
HKD,CAD,1M,6,5.9584
HKD,CAD,1M,6.5,5.9676
HKD,CAD,1M,7,5.9762
HKD,CAD,2M,3,5.8985
HKD,CAD,2M,3.5,5.9250
HKD,CAD,2M,4,5.9484
HKD,CAD,2M,4.5,5.9693
HKD,CAD,3M,3,5.9098
HKD,CAD,3M,3.5,5.9451
HKD,CAD,3M,4,5.9760
CAD,HKD,1W,3,0.1692
CAD,HKD,1W,3.5,0.1691
CAD,HKD,1W,4,0.1690
CAD,HKD,1W,4.5,0.1688
CAD,HKD,1W,5,0.1687
CAD,HKD,1W,5.5,0.1686
CAD,HKD,1W,6,0.1685
CAD,HKD,1W,6.5,0.1684
CAD,HKD,1W,7,0.1684
CAD,HKD,2W,3,0.1693
CAD,HKD,2W,3.5,0.1690
CAD,HKD,2W,4,0.1688
CAD,HKD,2W,4.5,0.1686
CAD,HKD,2W,5,0.1685
CAD,HKD,2W,5.5,0.1683
CAD,HKD,2W,6,0.1682
CAD,HKD,2W,6.5,0.1680
CAD,HKD,2W,7,0.1679
CAD,HKD,3W,3,0.1697
CAD,HKD,3W,3.5,0.1693
CAD,HKD,3W,4,0.1690
CAD,HKD,3W,4.5,0.1688
CAD,HKD,3W,5,0.1685
CAD,HKD,3W,5.5,0.1683
CAD,HKD,3W,6,0.1680
CAD,HKD,3W,6.5,0.1678
CAD,HKD,3W,7,0.1677
CAD,HKD,1M,3,0.1699
CAD,HKD,1M,3.5,0.1695
CAD,HKD,1M,4,0.1691
CAD,HKD,1M,4.5,0.1687
CAD,HKD,1M,5,0.1684
CAD,HKD,1M,5.5,0.1681
CAD,HKD,1M,6,0.1678
CAD,HKD,1M,6.5,0.1676
CAD,HKD,1M,7,0.1673
CAD,HKD,2M,3,0.1695
CAD,HKD,2M,3.5,0.1688
CAD,HKD,2M,4,0.1681
CAD,HKD,2M,4.5,0.1675
CAD,HKD,3M,3,0.1692
CAD,HKD,3M,3.5,0.1682
CAD,HKD,3M,4,0.1673
HKD,EUR,1W,3,8.4099
HKD,EUR,1W,3.5,8.4038
HKD,EUR,1W,4,8.3982
HKD,EUR,1W,4.5,8.3931
HKD,EUR,1W,5,8.3882
HKD,EUR,1W,5.5,8.3837
HKD,EUR,1W,6,8.3795
HKD,EUR,1W,6.5,8.3755
HKD,EUR,1W,7,8.3716
HKD,EUR,2W,3,8.4216
HKD,EUR,2W,3.5,8.4111
HKD,EUR,2W,4,8.4015
HKD,EUR,2W,4.5,8.3927
HKD,EUR,2W,5,8.3846
HKD,EUR,2W,5.5,8.3771
HKD,EUR,2W,6,8.3699
HKD,EUR,2W,6.5,8.3632
HKD,EUR,2W,7,8.3568
HKD,EUR,3W,3,8.4286
HKD,EUR,3W,3.5,8.4140
HKD,EUR,3W,4,8.4009
HKD,EUR,3W,4.5,8.3889
HKD,EUR,3W,5,8.3779
HKD,EUR,3W,5.5,8.3676
HKD,EUR,3W,6,8.3580
HKD,EUR,3W,6.5,8.3488
HKD,EUR,3W,7,8.3401
HKD,EUR,1M,3,8.4289
HKD,EUR,1M,3.5,8.4110
HKD,EUR,1M,4,8.3949
HKD,EUR,1M,4.5,8.3802
HKD,EUR,1M,5,8.3667
HKD,EUR,1M,5.5,8.3541
HKD,EUR,1M,6,8.3422
HKD,EUR,1M,6.5,8.3310
HKD,EUR,1M,7,8.3202
HKD,EUR,2M,3,8.4350
HKD,EUR,2M,3.5,8.4037
HKD,EUR,2M,4,8.3755
HKD,EUR,2M,4.5,8.3495
HKD,EUR,2M,5,8.3254
HKD,EUR,3M,3,8.4295
HKD,EUR,3M,3.5,8.3881
HKD,EUR,3M,4,8.3505
HKD,EUR,3M,4.5,8.3157
EUR,HKD,1W,3,0.1189
EUR,HKD,1W,3.5,0.1190
EUR,HKD,1W,4,0.1191
EUR,HKD,1W,4.5,0.1191
EUR,HKD,1W,5,0.1192
EUR,HKD,1W,5.5,0.1193
EUR,HKD,1W,6,0.1193
EUR,HKD,1W,6.5,0.1194
EUR,HKD,1W,7,0.1195
EUR,HKD,2W,3,0.1187
EUR,HKD,2W,3.5,0.1189
EUR,HKD,2W,4,0.1190
EUR,HKD,2W,4.5,0.1192
EUR,HKD,2W,5,0.1193
EUR,HKD,2W,5.5,0.1194
EUR,HKD,2W,6,0.1195
EUR,HKD,2W,6.5,0.1196
EUR,HKD,2W,7,0.1197
EUR,HKD,3W,3,0.1186
EUR,HKD,3W,3.5,0.1188
EUR,HKD,3W,4,0.1190
EUR,HKD,3W,4.5,0.1192
EUR,HKD,3W,5,0.1194
EUR,HKD,3W,5.5,0.1195
EUR,HKD,3W,6,0.1196
EUR,HKD,3W,6.5,0.1198
EUR,HKD,3W,7,0.1199
EUR,HKD,1M,3,0.1186
EUR,HKD,1M,3.5,0.1189
EUR,HKD,1M,4,0.1191
EUR,HKD,1M,4.5,0.1193
EUR,HKD,1M,5,0.1195
EUR,HKD,1M,5.5,0.1197
EUR,HKD,1M,6,0.1199
EUR,HKD,1M,6.5,0.1200
EUR,HKD,1M,7,0.1202
EUR,HKD,2M,3,0.1186
EUR,HKD,2M,3.5,0.1190
EUR,HKD,2M,4,0.1194
EUR,HKD,2M,4.5,0.1198
EUR,HKD,2M,5,0.1201
EUR,HKD,3M,3,0.1186
EUR,HKD,3M,3.5,0.1192
EUR,HKD,3M,4,0.1198
EUR,HKD,3M,4.5,0.1203
HKD,CNH,1W,2,1.1326
HKD,CNH,1W,2.5,1.1336
HKD,CNH,1W,3,1.1344
HKD,CNH,1W,3.5,1.1352
HKD,CNH,1W,4,1.1358
HKD,CNH,1W,4.5,1.1365
HKD,CNH,1W,5,1.1370
HKD,CNH,1W,5.5,1.1375
HKD,CNH,1W,6,1.1380
HKD,CNH,2W,2,1.1301
HKD,CNH,2W,2.5,1.1319
HKD,CNH,2W,3,1.1333
HKD,CNH,2W,3.5,1.1345
HKD,CNH,2W,4,1.1356
HKD,CNH,2W,4.5,1.1366
HKD,CNH,2W,5,1.1376
HKD,CNH,2W,5.5,1.1384
HKD,CNH,2W,6,1.1393
HKD,CNH,3W,2,1.1280
HKD,CNH,3W,2.5,1.1304
HKD,CNH,3W,3,1.1324
HKD,CNH,3W,3.5,1.1341
HKD,CNH,3W,4,1.1356
HKD,CNH,3W,4.5,1.1370
HKD,CNH,3W,5,1.1383
HKD,CNH,3W,5.5,1.1395
HKD,CNH,3W,6,1.1406
HKD,CNH,1M,2,1.1254
HKD,CNH,1M,2.5,1.1287
HKD,CNH,1M,3,1.1313
HKD,CNH,1M,3.5,1.1335
HKD,CNH,1M,4,1.1355
HKD,CNH,1M,4.5,1.1373
HKD,CNH,1M,5,1.1389
HKD,CNH,1M,5.5,1.1404
HKD,CNH,1M,6,1.1418
HKD,CNH,2M,2,1.1188
HKD,CNH,2M,2.5,1.1248
HKD,CNH,2M,3,1.1297
HKD,CNH,2M,3.5,1.1338
HKD,CNH,2M,4,1.1374
HKD,CNH,2M,4.5,1.1406
HKD,CNH,2M,5,1.1435
HKD,CNH,3M,2,1.1147
HKD,CNH,3M,2.5,1.1230
HKD,CNH,3M,3,1.1296
HKD,CNH,3M,3.5,1.1351
HKD,CNH,3M,4,1.1399
HKD,CNH,3M,4.5,1.1441
CNH,HKD,1W,2,0.8829
CNH,HKD,1W,2.5,0.8821
CNH,HKD,1W,3,0.8815
CNH,HKD,1W,3.5,0.8809
CNH,HKD,1W,4,0.8804
CNH,HKD,1W,4.5,0.8799
CNH,HKD,1W,5,0.8795
CNH,HKD,1W,5.5,0.8791
CNH,HKD,1W,6,0.8787
CNH,HKD,2W,2,0.8849
CNH,HKD,2W,2.5,0.8835
CNH,HKD,2W,3,0.8824
CNH,HKD,2W,3.5,0.8814
CNH,HKD,2W,4,0.8806
CNH,HKD,2W,4.5,0.8798
CNH,HKD,2W,5,0.8790
CNH,HKD,2W,5.5,0.8784
CNH,HKD,2W,6,0.8777
CNH,HKD,3W,2,0.8865
CNH,HKD,3W,2.5,0.8846
CNH,HKD,3W,3,0.8831
CNH,HKD,3W,3.5,0.8818
